site,date,run,trimmed,total_bases_gbp,total_sequences
AGCB,116,R1,F,9,60156377
AGCB,116,R1,T,8.7,60089215
AGCB,116,R2,F,9,60156377
AGCB,116,R2,T,8.7,60089215
AGCB,128,R1,F,3.9,26146993
AGCB,128,R1,T,3.7,26117259
AGCB,128,R2,F,3.9,26146993
AGCB,128,R2,T,3.7,26117259
Beltsville,116,R1,F,13.4,88944720
Beltsville,116,R1,T,13,88844888
Beltsville,116,R2,F,13.4,88944720
Beltsville,116,R2,T,13,88844888
Bowie,116,R1,F,14.1,93513332
Bowie,116,R1,T,13.6,93407849
Bowie,116,R2,F,14.1,93513332
Bowie,116,R2,T,13.6,93407849
Brighton,116,R1,F,12.3,81577479
Brighton,116,R1,T,11.7,81486763
Brighton,116,R2,F,12.3,81577479
Brighton,116,R2,T,11.7,81486763
CAL1,116,R1,F,15,99375389
CAL1,116,R1,T,14.5,99264224
CAL1,116,R2,F,15,99375389
CAL1,116,R2,T,14.4,99264224
CHC,116,R1,F,11.8,78661883
CHC,116,R1,T,11.5,78573016
CHC,116,R2,F,11.8,78661883
CHC,116,R2,T,11.5,78573016
Cheverly,116,R1,F,9.5,62988914
Cheverly,116,R1,T,9.1,62919562
Cheverly,116,R2,F,9.5,62988914
Cheverly,116,R2,T,9.1,62919562
Cheverly,128,R1,F,2.4,16488649
Cheverly,128,R1,T,2.3,16470005
Cheverly,128,R2,F,2.4,16488649
Cheverly,128,R2,T,2.3,16470005
Clarksville,116,R1,F,10.9,72514897
Clarksville,116,R1,T,10.5,72433735
Clarksville,116,R2,F,10.9,72514897
Clarksville,116,R2,T,10.5,72433735
ColHeights,116,R1,F,11.6,77344902
ColHeights,116,R1,T,11.2,77257930
ColHeights,116,R2,F,11.6,77344902
ColHeights,116,R2,T,11.2,77257930
ColPark,116,R1,F,5.4,35925565
ColPark,116,R1,T,5.2,35885712
ColPark,116,R2,F,5.4,35925565
ColPark,116,R2,T,5.2,35885712
ColPark,128,R1,F,10.6,70659921
ColPark,128,R1,T,10.1,70579476
ColPark,128,R2,F,10.6,70659921
ColPark,128,R2,T,10.1,70579476
Cst,116,R1,F,9.5,63420774
Cst,116,R1,T,9.2,63350496
Cst,116,R2,F,9.5,63420774
Cst,116,R2,T,9.2,63350496
Cst,128,R1,F,2.1,14275900
Cst,128,R1,T,2,14259452
Cst,128,R2,F,2.1,14275900
Cst,128,R2,T,2,14259452
ElCity,116,R1,F,15.1,100083266
ElCity,116,R1,T,14.5,99976167
ElCity,116,R2,F,15.1,100083266
ElCity,116,R2,T,14.5,99976167
Evanston,116,R1,F,12.5,82950271
Evanston,116,R1,T,12,82861016
Evanston,116,R2,F,12.5,82950271
Evanston,116,R2,T,12,82861016
FL1,116,R2,F,14.4,95483679
FL1,116,R1,T,13.9,95362842
FL1,116,R1,F,14.4,95483679
FL1,116,R2,T,13.9,95362842
FL2,116,R2,F,11.4,76020117
FL2,116,R1,T,11,75926561
FL2,116,R1,F,11.4,76020117
FL2,116,R2,T,11,75926561
FL3,116,R2,F,12,79592182
FL3,116,R1,T,11.5,79493805
FL3,116,R1,F,12,79592182
FL3,116,R2,T,11.5,79493805
Hillcrest,116,R2,F,11.3,75177026
Hillcrest,116,R1,T,11,75096878
Hillcrest,116,R1,F,11.3,75177026
Hillcrest,116,R2,T,11,75096878
IMET,116,R2,F,11.5,76173761
IMET,116,R1,T,11.1,76089348
IMET,116,R1,F,11.5,76173761
IMET,116,R2,T,11.1,76089348
Jerald,116,R1,F,8.6,57136369
Jerald,116,R1,T,8.4,57073727
Jerald,116,R2,F,8.6,57136369
Jerald,116,R2,T,8.3,57073727
Jerald,128,R1,F,3.3,22180506
Jerald,128,R1,T,3.2,22155067
Jerald,128,R2,F,3.3,22180506
Jerald,128,R2,T,3.2,22155067
ME1,116,R1,F,10.3,68660180
ME1,116,R1,T,9.9,68581488
ME1,116,R2,F,10.3,68660180
ME1,116,R2,T,9.9,68581488
ME1,128,R1,F,2.8,18586264
ME1,128,R1,T,2.6,18564511
ME1,128,R2,F,2.8,18586264
ME1,128,R2,T,2.6,18564511
ME2,116,R1,F,12,79601061
ME2,116,R1,T,11.5,79508788
ME2,116,R2,F,12,79601061
ME2,116,R2,T,11.5,79508788
ME3,116,R1,F,7.7,51609821
ME3,116,R1,T,7.4,51550272
ME3,116,R2,F,7.7,51609821
ME3,116,R2,T,7.4,51550272
ME3,128,R1,F,11.7,78137113
ME3,128,R1,T,11.2,78043585
ME3,128,R2,F,11.7,78137113
ME3,128,R2,T,11.2,78043585
NatHist,116,R1,F,11.2,74830809
NatHist,116,R1,T,10.9,74748523
NatHist,116,R2,F,11.2,74830809
NatHist,116,R2,T,10.9,74748523
NorthBroad,116,R1,F,8.6,57049550
NorthBroad,116,R1,T,8.3,56987610
NorthBroad,116,R2,F,8.6,57049550
NorthBroad,116,R2,T,8.3,56987610
NorthBroad,128,R1,F,3.8,25566993
NorthBroad,128,R1,T,3.7,25538555
NorthBroad,128,R2,F,3.8,25566993
NorthBroad,128,R2,T,3.7,25538555
Northfield,116,R1,F,10.2,67808564
Northfield,116,R1,T,9.8,67734368
Northfield,116,R2,F,10.2,67808564
Northfield,116,R2,T,9.8,67734368
Northfield,128,R1,F,2.8,18653481
Northfield,128,R1,T,2.7,18632443
Northfield,128,R2,F,2.8,18653481
Northfield,128,R2,T,2.6,18632443
Pax,116,R1,F,12.3,81542225
Pax,116,R1,T,11.9,81450848
Pax,116,R2,F,12.3,81542225
Pax,116,R2,T,11.9,81450848
QP,116,R1,F,12.5,83066665
QP,116,R1,T,12.1,82975255
QP,116,R2,F,12.5,83066665
QP,116,R2,T,12.1,82975255
SERC,116,R1,F,11.2,74829550
SERC,116,R1,T,10.9,74748890
SERC,116,R2,F,11.2,74829550
SERC,116,R2,T,10.9,74748890
SSC,116,R1,F,12.4,82326636
SSC,116,R1,T,12,82236803
SSC,116,R2,F,12.4,82326636
SSC,116,R2,T,12,82236803
UFP,116,R1,F,8.7,57939455
UFP,116,R1,T,8.5,57873947
UFP,116,R2,F,8.7,57939455
UFP,116,R2,T,8.5,57873947
UFP,128,R1,F,3.9,26181063
UFP,128,R1,T,3.8,26149641
UFP,128,R2,F,3.9,26181063
UFP,128,R2,T,3.8,26149641
UM,116,R1,F,10.2,67772850
UM,116,R1,T,9.9,67695947
UM,116,R2,F,10.2,67772850
UM,116,R2,T,9.9,67695947
UM,128,R1,F,2.4,16164566
UM,128,R1,T,2.3,16145545
UM,128,R2,F,2.4,16164566
UM,128,R2,T,2.3,16145545
UMBC,116,R1,F,14,93106393
UMBC,116,R1,T,13.6,93004926
